"Reference","Value","Qty","DNP","Part#","Tolerance","Voltage"
"C101","100µ","1","","EEHZC1H101P","","50V"
"C102","1µ","1","","CL10B105KQ8NNNC","","6.3V"
"C103","680µ","1","","EEEFK1V331P","","35V"
"C104","22µ","1","","GRM21BZ70J226ME44L","","6.3V"
"C105,C201,C202,C203,C204,C205","100n","6","","CC0603JRX7R9BB104","",""
"C206","10µ","1","","CL21B106KAYQNNE","",""
"D101","SS26T3G","1","","SS26T3G","",""
"D102","Red","1","","L-403SRD","",""
"D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D301,D302,D303,D304,D305,D306,D307,D308,D309,D310,D311,D312,D313,D314,D315,D316,D317,D318,D319,D320","Green","30","","204-10SYGD/S530-E2-L","",""
"J101","24V_Power","1","","KF142V-5.08-4P","",""
"J103","External_Programmer","1","DNP","","",""
"J104","Programming_Port","1","","GT-USB-7035D","",""
"J201","Digital_Input","1","","KF142V-5.08-10P","",""
"J301","Digital_Output_Bank_0","1","","KF142V-5.08-10P","",""
"J302","Digital_Output_Bank_1","1","","KF142V-5.08-10P","",""
"L101","68µ","1","","IHLP6767GZER680M11","",""
"Q101,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208,Q209,Q210,Q321,Q322,Q323,Q324,Q325,Q326,Q327,Q328,Q329,Q330,Q331,Q332,Q333,Q334,Q335,Q336,Q337,Q338,Q339,Q340","BSS138","31","","BSS138-7-F","",""
"Q301,Q302,Q303,Q304,Q305,Q306,Q307,Q308,Q309,Q310,Q311,Q312,Q313,Q314,Q315,Q316,Q317,Q318,Q319,Q320","IRLML6344","20","","IRLML6344TRPBF","",""
"R101,R102,R103","10k","3","","RC0603FR-0710KL","",""
"R104","100","1","","AC0603FR-07100RL","",""
"R105,R272,R273,R274,R275,R276,R277,R278,R279,R280,R281,R301,R302,R303,R304,R305,R306,R307,R308,R309,R310,R311,R312,R313,R314,R315,R316,R317,R318,R319,R320","68","31","","RC0603FR-0768RL","",""
"R106,R107","5.1k","2","","RC0603FR-075K1L","1%",""
"R201,R202,R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R213,R214,R215,R216,R241,R242,R243,R244,R245,R246,R247,R248,R249,R250,R251,R252,R253,R254,R255,R256,R263,R264,R265,R267,R268,R269,R270,R271","1M","40","","RC0603FR-071ML","1%",""
"R217,R218,R219,R220,R237,R238,R239,R240,R261,R262","649k","10","","RC0603FR-07649KL","1%",""
"R221,R222,R223,R224,R233,R234,R235,R236,R259,R260","1.2k","10","","RC0603FR-071K2L","1%",""
"R225,R226,R227,R228,R229,R230,R231,R232,R257,R258","10k","10","","RC0603FR-0710KL","1%",""
"R266","330","1","","RC0603FR-07330RL","",""
"SW101","Reset","1","","PTS645SH95SMTR92LFS","",""
"SW102","Toggle_Outputs","1","","PTS645SH95SMTR92LFS","",""
"U101","LM2596S-3.3","1","","LM2596SX-3.3/NOPB","",""
"U102","ESP32-S3-WROOM-1U","1","","ESP32-S3-WROOM-1U-N16R2","",""
"U201,U202,U203,U204,U205","TLV3202AID","5","","TLV3202AIDR","",""
"U206","TL431","1","","ZTL431AFTA","",""
